Days To Maturity,Strike,Mid,IVM
403,0.6,3.309999943,0
403,0.8,3.119999886,0
403,1,2.930000067,0
403,1.2,2.75,0
403,1.4,2.569999933,0
403,1.6,2.400000095,0
403,1.8,2.230000019,39.32098348
403,2,2.059999943,44.63389761
403,2.4,1.75,48.57654222
403,2.8,1.470000029,49.33950671
403,3.2,1.379999995,61.22966807
403,3.6,1.144999981,58.1659138
403,4,0.945000052,56.03420083
403,4.8,0.625,52.63610036
403,5.6,0.435000002,52.32646373
403,6.4,0.290000021,51.12886257
403,7.2,0.204999998,51.24714738
403,8,0.149999991,51.6994775
403,10,0.170000002,64.13123739
403,12,0.140000001,68.93597327
403,14,0.109999999,71.55667547
403,16,0.079999998,72.28132948
403,0.6,3.575000048,174.3874172
403,0.8,3.360000134,139.5250303
403,1,3.105000019,102.4064645
403,1.2,2.900000095,87.43906784
403,1.4,2.71999979,81.98156326
403,1.6,2.555000067,79.67898399
403,1.8,2.38499999,75.74913378
403,2,2.220000029,72.41355885
403,2.4,1.914999962,67.90859479
403,2.8,1.63499999,64.21023993
403,3.2,1.375,60.77675699
403,3.6,1.140000105,57.76280688
403,4,0.939999998,55.65818269
403,4.8,0.649999976,54.12572171
403,5.6,0.420000017,51.38628683
403,6.4,0.275000006,50.06366574
403,7.2,0.195000008,50.42067873
403,8,0.135000005,50.22244095
403,8.2,0.125,50.37522575
403,8.5,0.109999999,50.39717278
403,9,0.100000001,51.78519787
403,9.5,0.095000006,53.52915857
403,10,0.090000004,55.08942932
403,11,0.080000006,57.64001655
403,12,0.075000003,60.36437158
403,13,0.07,62.71224315
403,14,0.059999999,63.7144031
403,15,0.100000001,72.92291941
403,16,0.079999998,72.28233567
403,17,0.07,72.74547932
403,18,0.059999999,72.95639129
403,19,0.059999999,74.90942711
403,20,0.050000001,74.41415291
403,24,0.039999999,78.16441578
311,1.3,2.930000067,127.3487294
311,1.4,2.829999924,120.5991056
311,1.5,2.730000019,113.4827053
311,1.6,2.639999866,108.7969622
311,1.7,2.549999952,103.5908225
311,1.8,2.454999924,98.63375238
311,1.9,2.359999895,94.65170768
311,2,2.269999981,90.27404538
311,2.2,2.089999914,84.13848148
311,2.4,1.925000072,78.64200396
311,2.6,1.764999986,74.96856942
311,2.8,1.625,72.3012838
311,3,1.485000014,70.05934992
311,3.2,1.279999971,61.56184308
311,3.4,1.154999971,59.91197284
311,3.6,1.039999962,58.31526991
311,3.8,0.929999948,57.23058714
311,4,0.829999983,55.75283708
311,4.4,0.654999971,54.09978141
311,4.8,0.50999999,52.42492436
311,5.2,0.400000006,51.57872347
311,5.6,0.319999993,51.4265288
311,6,0.25999999,51.64441658
311,6.4,0.210000008,51.62368717
311,6.8,0.169999987,51.75873981
311,7.2,0.140000001,52.03179554
311,7.6,0.115000002,52.19462629
311,8,0.095000006,52.37194836
311,9,0.140000001,64.18997545
311,10,0.119999997,67.07346353
311,11,0.109999999,70.33526445
311,1.3,2.829999924,105.2330024
311,1.4,2.739999771,99.89405404
311,1.5,2.630000114,91.40395473
311,1.6,2.545000076,87.55635194
311,1.7,2.420000076,76.48278856
311,1.8,2.335000038,75.46259512
311,1.9,2.244999886,74.82357889
311,2,2.174999952,74.50879439
311,2.2,2.014999866,72.40983228
311,2.4,1.849999905,69.13313144
311,2.6,1.704999924,68.24577399
311,2.8,1.555000067,64.99479996
311,3,1.414999962,63.12900602
311,3.2,1.285000086,61.52323079
311,3.4,1.160000086,59.90655985
311,3.6,1.045000076,58.59602429
311,3.8,0.929999948,57.10087584
311,4,0.835000038,56.36280285
311,4.4,0.659999967,54.30393615
311,4.8,0.519999981,53.04807011
311,5.2,0.414999992,52.56216133
311,5.6,0.319999993,51.38061099
311,6,0.254999995,51.19748026
311,6.4,0.164999992,47.58051639
311,6.8,0.144999996,49.24851401
311,7.2,0.109999999,48.47756737
311,7.6,0.090000004,48.87056784
311,8,0.07,48.75618034
311,9,0.075000003,55.24929664
311,10,0.064999998,58.67517145
311,11,0.059999999,62.07300356
39,0.01,0,0
39,1.8,2.28000021,168.7269547
39,1.9,2.174999952,156.1630795
39,2,2.079999924,147.8767216
39,2.2,1.870000005,124.2309751
39,2.4,1.669999957,107.5482676
39,2.6,1.475000024,98.14330155
39,2.8,1.284999967,89.98726269
39,3,1.100000024,83.13079466
39,3.05,1.049999952,80.64192963
39,3.1,1.00999999,80.11714293
39,3.15,0.965000033,79.28918457
39,3.2,0.919999957,76.66228426
39,3.25,0.879999995,75.8443731
39,3.3,0.840001004,75.09998322
39,3.35,0.795000017,74.13685072
39,3.4,0.754999995,73.22834081
39,3.45,0.720000999,72.41911316
39,3.5,0.680000007,71.3568222
39,3.55,0.639999986,70.29308015
39,3.6,0.605000019,70.50996399
39,3.65,0.574999988,70.31724779
39,3.7,0.504999995,61.74543097
39,3.75,0.474999994,61.65292206
39,3.8,0.439999998,60.54993653
39,3.85,0.410000026,60.5129185
39,3.9,0.375,59.20516577
39,3.95,0.344999999,58.81446838
39,4,0.319999993,58.34740346
39,4.1,0.275000006,58.23878702
39,4.2,0.229999989,58.06289522
39,4.3,0.194999993,57.63920148
39,4.4,0.159999996,56.66550649
39,4.5,0.13499999,57.91283035
39,4.6,0.109999999,56.68533313
39,4.7,0.100000001,58.7821135
39,4.8,0.079999998,58.13432203
39,4.9,0.07,59.44197798
39,5,0.055,58.53149542
39,5.1,0.050000001,60.36782046
39,5.2,0.079999998,73.51863138
39,5.3,0.079999998,77.01282847
39,5.4,0.07,77.1704547
39,5.5,0.07,80.36601612
39,5.6,0.059999999,79.92668794
39,5.7,0.059999999,82.87273476
39,5.8,0.059999999,85.7233559
39,5.9,0.050000001,84.48441256
39,6,0.050000001,87.12770044
39,6.4,0.039999999,92.25557707
39,6.8,0.039999999,101.0321119
39,7.2,0.039999999,109.2389885
39,7.6,0.029999999,110.332564
39,8,0.029999999,117.0816521
39,9,0.029999999,132.1849012
39,10,0.029999999,145.2706793
39,11,0.029999999,156.821024
39,12,0.029999999,167.156064
39,13,0.029999999,176.488265
39,16,0.029999999,200.0303589
39,0.01,4.115000248,0
39,1.8,2.310000943,190.8604445
39,1.9,2.205001162,176.456074
39,2,2.105000019,167.4669991
39,2.2,1.900001095,146.4657093
39,2.4,1.700000048,127.0621878
39,2.6,1.5,113.0903614
39,2.8,1.315000938,104.8192596
39,3,1.119999886,91.63090126
39,3.05,1.075000048,88.53448585
39,3.1,1.029999971,86.65611377
39,3.15,0.980000019,84.1655937
39,3.2,0.944999993,84.22800654
39,3.25,0.894999981,81.03859355
39,3.3,0.855000019,79.80037458
39,3.35,0.814999998,78.20094611
39,3.4,0.779999971,78.89652921
39,3.45,0.725000024,73.93985529
39,3.5,0.680000007,73.27467766
39,3.55,0.63499999,69.45883947
39,3.6,0.595000029,68.18943024
39,3.65,0.555000007,67.1160662
39,3.7,0.524999976,66.15570296
39,3.75,0.49000101,65.15152986
39,3.8,0.454999983,65.02889082
39,3.85,0.430000007,64.57838455
39,3.9,0.395000011,63.91148707
39,3.95,0.370000005,63.08730612
39,4,0.335001008,61.79978352
39,4.1,0.290000992,61.1221353
39,4.2,0.245000005,60.2674649
39,4.3,0.205001006,59.45970421
39,4.4,0.170000002,58.72699668
39,4.5,0.140000001,57.98879243
39,4.6,0.114999995,57.72521002
39,4.7,0.109999999,61.33043347
39,4.8,0.064999998,53.963095
39,4.9,0.07,59.39612375
39,5,0.060000002,60.15640409
39,5.1,0.064999998,65.35768718
39,5.2,0.044999998,61.90226993
39,5.3,0.044999998,65.10461989
39,5.4,0.039999999,66.15992985
39,5.5,0.039999999,69.1098931
39,5.6,0.035,69.70093189
39,5.7,0.035,72.43006581
39,5.8,0.030000001,72.53793336
39,5.9,0.030000001,75.06953829
39,6,0.030000001,77.53627501
39,6.4,0.039999999,92.26994723
39,6.8,0.039999999,101.0536109
39,7.2,0.029999999,103.111399
39,7.6,0.029999999,110.3510365
39,8,0.029999999,117.0986161
39,8.5,0.029999999,124.9353577
39,9,0.029999999,132.1978288
39,9.2,0.029999999,134.9598863
39,9.5,0.029999999,138.9633565
39,10,0.029999999,145.2944148
39,10.6,0.029999999,152.3897285
39,11,0.029999999,156.8495761
39,12,0.01,143.2598978
39,13,0.029999999,176.5159549
39,14,0.029999999,185.0255031
39,14.5,0.029999999,189.0124995
39,15,0.029999999,192.8394092
39,16,0.029999999,200.0593896
39,17,0.029999999,206.766578
39,18,0.029999999,213.0266711
39,19,0.029999999,218.8936214
39,19.3,0.029999999,220.5839476
39,20,0.029999999,224.4122416
39,24,0.029999999,243.6772781
39,28,0.029999999,259.5697884
220,1.3,2.640000105,0
220,1.4,2.549999952,0
220,1.5,2.450000048,0
220,1.6,2.359999895,0
220,1.7,2.269999981,0
220,1.8,2.180000067,0
220,1.9,2.089999914,0
220,2,2,0
220,2.2,1.830000043,45.9872258
220,2.4,1.659999967,49.96992492
220,2.6,1.5,51.49430482
220,2.8,1.350000024,51.9963758
220,3,1.210000038,52.13280128
220,3.2,1.190000057,63.98345133
220,3.4,1.054999948,62.05222483
220,3.6,0.929999948,60.19293766
220,3.8,0.820000052,58.51703711
220,4,0.715000033,57.0231253
220,4.4,0.534999967,54.85082334
220,4.8,0.394999981,53.10885043
220,5.2,0.300000012,52.89589776
220,5.6,0.224999994,52.66293911
220,6,0.170000002,52.3715848
220,6.4,0.129999995,52.50085001
220,6.8,0.099999994,52.68159611
220,7.2,0.079999998,53.31667714
220,7.6,0.064999998,54.01699098
220,8,0.109999999,64.64524098
220,9,0.090000004,68.60449443
220,10,0.07,70.86694721
220,12,0.050000001,75.89717618
220,14,0.039999999,80.63000145
220,16,0.039999999,87.06420318
220,1.3,2.829999924,119.5952292
220,1.4,2.735000134,112.6834894
220,1.5,2.630000114,108.7900795
220,1.6,2.539999962,105.2065378
220,1.7,2.414999962,92.19300773
220,1.8,2.335000038,88.45426399
220,1.9,2.24000001,84.63863684
220,2,2.154999971,83.27002371
220,2.2,1.964999914,76.99361315
220,2.4,1.795000076,73.49662126
220,2.6,1.639999986,71.75159465
220,2.8,1.480000019,68.2722733
220,3,1.335000038,65.79234407
220,3.2,1.190000057,63.78968178
220,3.4,1.059999943,62.12912295
220,3.6,0.935000002,60.71928728
220,3.8,0.825000048,59.10173741
220,4,0.720000029,57.47188078
220,4.4,0.544999957,55.56595873
220,4.8,0.400000006,53.55709469
220,5.2,0.300000012,53.08649421
220,5.6,0.224999994,52.44904935
220,6,0.164999992,51.87003243
220,6.4,0.125,51.91793341
220,6.8,0.099999994,52.72088097
220,7.2,0.074999996,52.52286739
220,7.6,0.059999999,53.09605451
220,8,0.055,55.12080272
220,8.2,0.055,56.51765697
220,8.4,0.055,57.90218925
220,8.5,0.055,58.56429403
220,8.6,0.050000001,58.12202061
220,8.8,0.050000001,59.39887556
220,9,0.044999998,59.4125066
220,9.5,0.044999998,62.36334329
220,10,0.024999999,58.83987601
220,11,0.059999999,73.88437821
220,12,0.050000001,75.93090342
220,13,0.039999999,77.08375519
220,14,0.039999999,80.66233732
220,15,0.039999999,84.0228578
220,16,0.039999999,87.0957243
220,18,0.029999999,88.76128031
130,0.01,0,0
130,1.3,2.650000095,0
130,1.4,2.549999952,0
130,1.5,2.460000038,0
130,1.6,2.359999895,0
130,1.7,2.269999981,0
130,1.8,2.170000076,0
130,1.9,2.079999924,0
130,2,1.99000001,0
130,2.2,1.799999952,0
130,2.4,1.620000005,0
130,2.6,1.450000048,36.15252354
130,2.8,1.279999971,45.90537498
130,3,1.129999995,48.76614345
130,3.2,0.980000019,49.65737576
130,3.4,0.934999943,63.24190248
130,3.6,0.804999948,61.25034873
130,3.8,0.685000002,59.81861023
130,4,0.574999988,58.03945288
130,4.4,0.395000011,55.66951464
130,4.8,0.275000006,55.23435866
130,5.2,0.189999998,55.01973942
130,5.6,0.129999995,54.99191751
130,6,0.090000004,55.2323656
130,6.4,0.064999998,56.05869036
130,6.8,0.050000001,57.53393601
130,7.2,0.079999998,69.16941081
130,7.6,0.07,71.32949143
130,8,0.059999999,72.86531388
130,9,0.050000001,78.81714851
130,10,0.039999999,82.8944147
130,0.01,4.144999981,0
130,1.3,2.829999924,148.8344792
130,1.4,2.735000134,141.6083828
130,1.5,2.625,129.489928
130,1.6,2.525000095,121.9180162
130,1.7,2.400000095,104.145913
130,1.8,2.309999943,98.43586873
130,1.9,2.210000038,96.45179052
130,2,2.119999886,92.23273797
130,2.2,1.920000076,80.7046058
130,2.4,1.745000005,78.03710932
130,2.6,1.565000057,75.35829815
130,2.8,1.40500121,72.58860337
130,3,1.245000005,70.48541261
130,3.2,1.085000038,66.6117419
130,3.4,0.940000057,64.19530728
130,3.6,0.804999948,62.33394949
130,3.8,0.690000057,60.44566176
130,4,0.580000043,58.69941071
130,4.4,0.400000006,56.29358394
130,4.8,0.270000011,54.59963056
130,5.2,0.180000007,54.10346784
130,5.6,0.120000005,53.47661124
130,6,0.079999998,53.46267202
130,6.4,0.055,53.86234611
130,6.8,0.050000001,57.57976462
130,7.2,0.044999998,60.7155175
130,7.6,0.039999999,63.3210043
130,8,0.035,65.38172807
130,9,0.050000001,78.86407978
130,9.8,0.039999999,81.54426372
130,10,0.039999999,82.93625131
130,11,0.039999999,89.40803237
130,13,0.029999999,95.88827122
130,14,0.029999999,100.557748
11,0.01,0,0
11,3.05,1.055000067,159.7844733
11,3.1,1.004999995,149.8721861
11,3.15,0.954999983,143.3326308
11,3.2,0.904999971,136.8584869
11,3.25,0.850000024,129.9702042
11,3.3,0.799999952,123.5758216
11,3.35,0.754999995,117.6938308
11,3.4,0.705000043,111.3596931
11,3.45,0.659999967,108.0187657
11,3.5,0.610000014,103.918283
11,3.55,0.560000002,97.3924403
11,3.6,0.519999981,96.01560204
11,3.65,0.474999994,89.83926423
11,3.7,0.425000012,86.91121355
11,3.75,0.38499999,84.24540543
11,3.8,0.344999999,81.12525954
11,3.85,0.314999998,78.64544479
11,3.9,0.234999999,60.11238219
11,3.95,0.204999998,59.86616931
11,4,0.174999997,58.72104399
11,4.1,0.125,57.37725263
11,4.2,0.089999996,57.29500233
11,4.3,0.064999998,59.31182772
11,4.4,0.090000004,80.91277288
11,4.5,0.07,81.60329291
11,4.6,0.059999999,85.48031127
11,4.7,0.050000001,88.10496715
11,4.8,0.050000001,95.78437897
11,4.9,0.039999999,96.46880553
11,5,0.039999999,103.2587328
11,5.1,0.039999999,109.7857464
11,5.2,0.029999999,107.8831254
11,5.6,0.029999999,130.140222
11,6.2,0.029999999,159.1394361
11,0.01,4.034999847,0
11,2.5,1.565000057,194.9132391
11,2.8,1.264999986,152.9318481
11,3,1.070000874,131.8396987
11,3.05,1.019999981,126.0703176
11,3.1,0.970000029,120.3604882
11,3.15,0.920000017,114.705472
11,3.2,0.870000005,114.0196557
11,3.25,0.819999993,108.2715562
11,3.3,0.769999981,106.0848721
11,3.35,0.720000029,100.2637817
11,3.4,0.675000012,91.00541925
11,3.45,0.625,92.08028605
11,3.5,0.579999983,84.98237601
11,3.55,0.534999967,86.24674368
11,3.6,0.49000001,79.20621174
11,3.65,0.444999993,77.08053742
11,3.7,0.405000001,74.55806446
11,3.75,0.36500001,72.68031215
11,3.8,0.324999988,70.22151585
11,3.85,0.284999996,67.2041529
11,3.9,0.245000005,65.40644972
11,3.95,0.215000004,63.27808554
11,4,0.185000002,62.07314556
11,4.1,0.135000005,60.79445855
11,4.2,0.094999999,59.72178038
11,4.3,0.064999998,59.09153793
11,4.4,0.055,64.64702766
11,4.5,0.039999999,65.79344467
11,4.6,0.035,70.93108913
11,4.7,0.050000001,87.95452578
11,4.8,0.050000001,95.63973622
11,4.9,0.039999999,96.34149521
11,5,0.039999999,103.135796
11,5.1,0.039999999,109.6684867
11,5.2,0.029999999,107.7756366
11,5.3,0.029999999,113.6117871
11,5.4,0.029999999,119.2606501
11,5.5,0.029999999,124.7361252
11,5.6,0.029999999,130.050311
11,5.7,0.029999999,135.2138169
11,5.8,0.029999999,140.2361074
11,5.9,0.029999999,145.1255512
11,6,0.029999999,149.8897355
11,6.2,0.029999999,159.0690146
11,6.9,0.029999999,188.0860718
74,3.1,1.070000052,72.38524504
74,3.15,1.029999971,71.68089194
74,3.2,0.99000001,70.86686083
74,3.25,0.950000048,69.95094179
74,3.3,0.914999962,69.14384054
74,3.35,0.875,68.48559241
74,3.4,0.835000038,67.56529051
74,3.45,0.800000012,66.61330469
74,3.5,0.764999986,66.47032278
74,3.55,0.710000038,62.14758983
74,3.6,0.669999957,61.36300302
74,3.65,0.639999986,61.03131463
74,3.7,0.605000019,60.22646419
74,3.75,0.575000048,59.95903471
74,3.8,0.545000017,59.46245333
74,3.85,0.514999986,58.66671523
74,3.9,0.485000014,58.19757899
74,3.95,0.454999983,57.76432995
74,4,0.430000007,57.40724558
74,4.1,0.379999995,56.47586936
74,4.2,0.335000008,56.01759763
74,4.3,0.300000012,56.1830342
74,4.4,0.25999999,55.3488055
74,4.5,0.224999994,54.82785472
74,4.6,0.200000003,55.03441175
74,4.7,0.170000002,54.23711833
74,4.8,0.150000006,54.28599068
74,4.9,0.129999995,54.26445511
74,5,0.114999995,54.56355415
74,5.1,0.100000001,54.47827271
74,5.2,0.084999993,54.09922681
74,5.3,0.074999996,54.43804962
74,5.4,0.064999998,54.46535925
74,5.5,0.060000002,55.479234
74,5.6,0.050000001,54.92377645
74,5.7,0.050000001,57.00284034
74,5.8,0.044999998,57.48609106
74,2.6,1.525000095,89.07101011
74,2.7,1.440000057,87.19300586
74,2.8,1.345000029,83.20549344
74,2.9,1.254999995,79.55483847
74,3,1.164999962,76.02742033
74,3.1,1.075000048,72.57493012
74,3.15,1.029999971,70.97477475
74,3.2,0.99000001,70.19741266
74,3.25,0.949999988,69.15488734
74,3.3,0.904999971,67.98239511
74,3.35,0.86500001,66.91505776
74,3.4,0.825000048,65.89984887
74,3.45,0.789999962,64.73928631
74,3.5,0.75,63.80361796
74,3.55,0.709999979,62.394371
74,3.6,0.665000021,61.01921663
74,3.65,0.639999986,60.92515669
74,3.7,0.605000019,60.85420318
74,3.75,0.574999988,59.76298077
74,3.8,0.539999962,59.38861262
74,3.85,0.524999976,60.30491464
74,3.9,0.495000005,59.63772266
74,3.95,0.465000004,58.85161893
74,4,0.425000012,57.17684376
74,4.1,0.379999995,56.4760318
74,4.2,0.335000008,55.88810635
74,4.3,0.289999992,54.78761576
74,4.4,0.245000005,53.15817057
74,4.5,0.215000004,53.15072125
74,4.6,0.194999993,54.180353
74,4.7,0.170000002,54.24156172
74,4.8,0.144999996,53.64612519
74,4.9,0.125,53.2633965
74,5,0.114999995,54.56814979
74,5.1,0.100000001,54.48271993
74,5.2,0.084999993,54.10345117
74,5.3,0.074999996,54.43604995
74,5.4,0.064999998,54.4695699
74,5.5,0.060000002,55.48405512
74,5.6,0.055,56.32963076
74,5.7,0.050000001,57.00138737
74,5.8,0.044999998,57.49058252
